Loading net-file from 'C:\Users\P14s\OneDrive\Desktop\bk\vn.net.xml' ... done (30ms).
Loading additional-files from 'C:\Users\P14s\OneDrive\Desktop\bk\vtype.xml' ... done (2ms).
Loading route-files incrementally from 'C:\Users\P14s\OneDrive\Desktop\bk\full_routes.xml'
Loading done.
Simulation started with time: 0.00.
Warning: Vehicle 'base_sn_right_moto.15' performs emergency braking on lane 'J9_to_J6_0' with decel=10.00, wished=4.50, severity=1.00, time=98.00.
Warning: Vehicle 'base_ew_top_moto.15' performs emergency braking on lane 'J2_to_J1_0' with decel=10.00, wished=4.50, severity=1.00, time=98.00.
Warning: Vehicle 'base_ew_bot_moto.15' performs emergency braking on lane 'J8_to_J7_0' with decel=10.00, wished=4.50, severity=1.00, time=98.00.
Warning: Vehicle 'base_sn_right_moto.8' performs emergency braking on lane 'J3_to_N_out_3_1' with decel=10.00, wished=4.50, severity=1.00, time=98.30.
Warning: Vehicle 'base_ns_right_moto.29' performs emergency braking on lane 'N_out_3_to_J3_0' with decel=10.00, wished=4.50, severity=1.00, time=99.20.
Warning: Vehicle 'peak_morning_we_top_moto.12' performs emergency braking on lane 'J2_to_J3_1' with decel=10.00, wished=4.50, severity=1.00, time=99.70.
Warning: Vehicle 'base_ew_top_moto.11' performs emergency braking on lane 'J2_to_J1_0' with decel=10.00, wished=4.50, severity=1.00, time=99.80.
Warning: Vehicle 'base_ew_bot_moto.15' performs emergency braking on lane 'J8_to_J7_0' with decel=10.00, wished=4.50, severity=1.00, time=100.00.
Warning: Vehicle 'base_sn_left_moto.29' performs emergency braking on lane 'N_out_7s_to_J7_0' with decel=10.00, wished=4.50, severity=1.00, time=100.60.
Warning: Vehicle 'base_sn_right_moto.29' performs emergency braking on lane 'N_out_9s_to_J9_1' with decel=10.00, wished=4.50, severity=1.00, time=100.80.
Warning: Vehicle 'base_sn_right_moto.8' performs emergency braking on lane 'J3_to_N_out_3_0' with decel=10.00, wished=4.50, severity=1.00, time=101.00.
Warning: Vehicle 'peak_morning_we_top_moto.15' performs emergency braking on lane 'J2_to_J3_1' with decel=10.00, wished=4.50, severity=1.00, time=101.90.
Warning: Vehicle 'base_we_bot_moto.13' performs emergency braking on lane 'N_out_7_to_J7_0' with decel=10.00, wished=4.50, severity=1.00, time=103.50.
Warning: Vehicle 'base_sn_right_moto.32' performs emergency braking on lane 'N_out_9s_to_J9_0' with decel=10.00, wished=4.50, severity=1.00, time=103.60.
Warning: Vehicle 'base_ew_bot_moto.15' performs emergency braking on lane 'J8_to_J7_0' with decel=10.00, wished=4.50, severity=1.00, time=103.90.
Warning: Vehicle 'peak_morning_we_top_moto.22' performs emergency braking on lane 'J2_to_J3_1' with decel=10.00, wished=4.50, severity=1.00, time=104.10.
Warning: Vehicle 'base_ew_bot_moto.14' performs emergency braking on lane 'J8_to_J7_0' with decel=10.00, wished=4.50, severity=1.00, time=104.80.
Warning: Vehicle 'peak_morning_we_bot_moto.23' performs emergency braking on lane 'J8_to_J9_1' with decel=10.00, wished=4.50, severity=1.00, time=105.60.
Warning: Vehicle 'base_ew_bot_moto.15' performs emergency braking on lane 'J8_to_J7_1' with decel=10.00, wished=4.50, severity=1.00, time=105.80.
Warning: Vehicle 'peak_morning_we_top_moto.32' performs emergency braking on lane 'J1_to_J2_0' with decel=10.00, wished=4.50, severity=1.00, time=106.70.
Warning: Vehicle 'base_ew_top_moto.17' performs emergency braking on lane 'J2_to_J1_1' with decel=10.00, wished=4.50, severity=1.00, time=106.80.
Warning: Vehicle 'peak_morning_we_bot_moto.36' performs emergency braking on lane 'N_out_7_to_J7_1' with decel=10.00, wished=4.50, severity=1.00, time=107.60.
Warning: Vehicle 'base_ns_right_moto.21' performs emergency braking on lane 'J3_to_J6_1' with decel=10.00, wished=4.50, severity=1.00, time=107.80.
Warning: Vehicle 'peak_morning_we_bot_moto.31' performs emergency braking on lane 'J7_to_J8_0' with decel=10.00, wished=4.50, severity=1.00, time=108.80.
Warning: Vehicle 'peak_morning_we_bot_moto.28' performs emergency braking on lane 'J7_to_J8_0' with decel=10.00, wished=4.50, severity=1.00, time=108.90.
Warning: Vehicle 'peak_morning_we_top_moto.29' performs emergency braking on lane 'J1_to_J2_0' with decel=10.00, wished=4.50, severity=1.00, time=109.10.
Warning: Vehicle 'peak_morning_we_bot_moto.34' performs emergency braking on lane 'J7_to_J8_0' with decel=10.00, wished=4.50, severity=1.00, time=110.80.
Warning: Vehicle 'base_sn_right_moto.34' performs emergency braking on lane 'J9_to_J6_0' with decel=10.00, wished=4.50, severity=1.00, time=111.20.
Warning: Vehicle 'peak_morning_we_top_moto.50' performs emergency braking on lane 'N_out_1w_to_J1_0' with decel=10.00, wished=4.50, severity=1.00, time=111.40.
Warning: Vehicle 'base_ns_left_moto.12' performs emergency braking on lane 'J1_to_J4_1' with decel=10.00, wished=4.50, severity=1.00, time=111.60.
Warning: Vehicle 'base_ns_right_moto.31' performs emergency braking on lane 'J3_to_J6_0' with decel=10.00, wished=4.50, severity=1.00, time=112.40.
Warning: Vehicle 'base_ns_left_moto.34' performs emergency braking on lane 'J1_to_J4_0' with decel=10.00, wished=4.50, severity=1.00, time=112.40.
Warning: Vehicle 'base_ew_bot_moto.16' performs emergency braking on lane 'J8_to_J7_0' with decel=10.00, wished=4.50, severity=1.00, time=112.40.
Warning: Vehicle 'base_ns_right_moto.31' performs emergency braking on lane 'J3_to_J6_1' with decel=10.00, wished=4.50, severity=1.00, time=113.50.
Warning: Vehicle 'base_ns_left_moto.22' performs emergency braking on lane 'J1_to_J4_0' with decel=10.00, wished=4.50, severity=1.00, time=115.90.
Warning: Vehicle 'base_ns_right_moto.13' performs emergency braking on lane 'J3_to_J6_1' with decel=10.00, wished=4.50, severity=1.00, time=116.40.
Warning: Vehicle 'base_ew_bot_moto.34' performs emergency braking on lane 'N_out_9_to_J9_0' with decel=10.00, wished=4.50, severity=1.00, time=116.50.
Warning: Vehicle 'base_we_top_moto.14' performs emergency braking on lane 'N_out_1w_to_J1_1' with decel=10.00, wished=4.50, severity=1.00, time=116.60.
Warning: Vehicle 'peak_morning_we_top_moto.46' performs emergency braking on lane 'N_out_1w_to_J1_0' with decel=10.00, wished=4.50, severity=1.00, time=116.60.
Warning: Vehicle 'peak_morning_we_bot_moto.46' performs emergency braking on lane 'N_out_7_to_J7_0' with decel=10.00, wished=4.50, severity=1.00, time=116.70.
Warning: Vehicle 'base_ew_bot_moto.34' performs emergency braking on lane 'N_out_9_to_J9_0' with decel=10.00, wished=4.50, severity=1.00, time=117.30.
Warning: Vehicle 'base_sn_right_moto.26' performs emergency braking on lane 'J9_to_J6_0' with decel=10.00, wished=4.50, severity=1.00, time=117.60.
Warning: Vehicle 'base_sn_right_car.6' performs emergency braking on lane 'J9_to_J6_1' with decel=9.00, wished=4.50, severity=1.00, time=117.70.
Warning: Vehicle 'base_sn_right_moto.26' performs emergency braking on lane 'J9_to_J6_1' with decel=10.00, wished=4.50, severity=1.00, time=117.80.
Warning: Vehicle 'base_ns_right_moto.29' performs emergency braking on lane 'J3_to_J6_0' with decel=10.00, wished=4.50, severity=1.00, time=118.50.
Warning: Vehicle 'base_we_bot_moto.15' performs emergency braking on lane 'N_out_7_to_J7_0' with decel=10.00, wished=4.50, severity=1.00, time=118.50.
Warning: Vehicle 'peak_morning_we_bot_moto.46' performs emergency braking on lane 'N_out_7_to_J7_0' with decel=10.00, wished=4.50, severity=1.00, time=118.60.
Warning: Vehicle 'base_ew_bot_moto.34' performs emergency braking on lane 'N_out_9_to_J9_1' with decel=10.00, wished=4.50, severity=1.00, time=119.20.
Warning: Vehicle 'base_ns_right_moto.28' performs emergency braking on lane 'J3_to_J6_1' with decel=10.00, wished=4.50, severity=1.00, time=119.60.
Warning: Vehicle 'peak_morning_we_bot_moto.47' performs emergency braking on lane 'N_out_7_to_J7_0' with decel=10.00, wished=4.50, severity=1.00, time=120.10.
Warning: Vehicle 'base_ns_right_moto.27' performs emergency braking on lane 'J3_to_J6_0' with decel=10.00, wished=4.50, severity=1.00, time=120.30.
Warning: Vehicle 'base_ns_left_moto.22' performs emergency braking on lane 'J1_to_J4_1' with decel=10.00, wished=4.50, severity=1.00, time=120.90.
Warning: Vehicle 'base_ns_right_moto.29' performs emergency braking on lane 'J3_to_J6_0' with decel=10.00, wished=4.50, severity=1.00, time=121.80.
Warning: Vehicle 'base_ns_right_moto.38' performs emergency braking on lane 'J3_to_J6_0' with decel=10.00, wished=4.50, severity=1.00, time=121.80.
Warning: Vehicle 'base_ew_top_moto.38' performs emergency braking on lane 'N_out_3e_to_J3_0' with decel=10.00, wished=4.50, severity=1.00, time=122.00.
Warning: Vehicle 'base_ew_top_moto.39' performs emergency braking on lane 'N_out_3e_to_J3_0' with decel=10.00, wished=4.50, severity=1.00, time=122.40.
Warning: Vehicle 'base_ns_left_moto.36' performs emergency braking on lane 'J1_to_J4_0' with decel=10.00, wished=4.50, severity=1.00, time=122.80.
Warning: Vehicle 'base_sn_right_moto.26' performs emergency braking on lane 'J9_to_J6_1' with decel=10.00, wished=4.50, severity=1.00, time=123.10.
Warning: Vehicle 'base_sn_left_moto.35' performs emergency braking on lane 'J7_to_J4_0' with decel=10.00, wished=4.50, severity=1.00, time=123.10.
Warning: Vehicle 'base_sn_left_moto.34' performs emergency braking on lane 'J7_to_J4_0' with decel=10.00, wished=4.50, severity=1.00, time=123.60.
Warning: Vehicle 'base_ew_top_moto.38' performs emergency braking on lane 'N_out_3e_to_J3_0' with decel=10.00, wished=4.50, severity=1.00, time=123.80.
Warning: Vehicle 'base_sn_left_moto.34' performs emergency braking on lane 'J7_to_J4_0' with decel=10.00, wished=4.50, severity=1.00, time=124.80.
Warning: Vehicle 'base_sn_left_moto.30' performs emergency braking on lane 'J7_to_J4_1' with decel=10.00, wished=4.50, severity=1.00, time=124.90.
Warning: Vehicle 'base_sn_left_car.6' performs emergency braking on lane 'J7_to_J4_1' with decel=9.00, wished=4.50, severity=1.00, time=124.90.
Warning: Vehicle 'base_sn_left_moto.34' performs emergency braking on lane 'J7_to_J4_1' with decel=10.00, wished=4.50, severity=1.00, time=125.00.
Warning: Vehicle 'base_ew_top_moto.41' performs emergency braking on lane 'N_out_3e_to_J3_0' with decel=10.00, wished=4.50, severity=1.00, time=125.00.
Warning: Vehicle 'base_ns_right_moto.36' performs emergency braking on lane 'J3_to_J6_0' with decel=10.00, wished=4.50, severity=1.00, time=126.00.
Warning: Vehicle 'base_ns_left_moto.35' performs emergency braking on lane 'J1_to_J4_1' with decel=10.00, wished=4.50, severity=1.00, time=126.80.
Warning: Vehicle 'base_sn_left_moto.34' performs emergency braking on lane 'J7_to_J4_1' with decel=10.00, wished=4.50, severity=1.00, time=127.40.
Warning: Vehicle 'base_sn_left_moto.35' performs emergency braking on lane 'J7_to_J4_1' with decel=10.00, wished=4.50, severity=1.00, time=129.80.
Warning: Vehicle 'base_we_top_moto.17' performs emergency braking on lane 'N_out_1w_to_J1_0' with decel=10.00, wished=4.50, severity=1.00, time=130.90.
Warning: Vehicle 'base_ew_bot_moto.43' performs emergency braking on lane 'N_out_9_to_J9_0' with decel=10.00, wished=4.50, severity=1.00, time=131.10.
Warning: Vehicle 'base_ns_right_moto.38' performs emergency braking on lane 'J3_to_J6_0' with decel=10.00, wished=4.50, severity=1.00, time=131.30.
Warning: Vehicle 'base_ns_right_moto.42' performs emergency braking on lane 'J3_to_J6_0' with decel=10.00, wished=4.50, severity=1.00, time=131.70.
Warning: Vehicle 'base_sn_right_moto.36' performs emergency braking on lane 'J9_to_J6_0' with decel=10.00, wished=4.50, severity=1.00, time=134.70.
Warning: Vehicle 'peak_morning_we_top_moto.60' performs emergency braking on lane 'N_out_1w_to_J1_0' with decel=10.00, wished=4.50, severity=1.00, time=137.10.
Warning: Vehicle 'base_ew_bot_moto.45' performs emergency braking on lane 'N_out_9_to_J9_0' with decel=10.00, wished=4.50, severity=1.00, time=137.50.
Warning: Vehicle 'base_ew_top_moto.46' performs emergency braking on lane 'N_out_3e_to_J3_0' with decel=10.00, wished=4.50, severity=1.00, time=137.70.
Warning: Vehicle 'base_sn_right_moto.36' performs emergency braking on lane 'J9_to_J6_0' with decel=10.00, wished=4.50, severity=1.00, time=138.30.
Warning: Vehicle 'base_sn_right_moto.41' performs emergency braking on lane 'J9_to_J6_0' with decel=10.00, wished=4.50, severity=1.00, time=138.80.
Warning: Vehicle 'base_sn_left_moto.43' performs emergency braking on lane 'J7_to_J4_0' with decel=10.00, wished=4.50, severity=1.00, time=139.20.
Warning: Vehicle 'peak_morning_we_bot_moto.57' performs emergency braking on lane 'N_out_7_to_J7_0' with decel=10.00, wished=4.50, severity=1.00, time=139.40.
Warning: Vehicle 'base_sn_left_moto.41' performs emergency braking on lane 'J7_to_J4_0' with decel=10.00, wished=4.50, severity=1.00, time=139.50.
Warning: Vehicle 'base_we_bot_moto.10' performs emergency braking on lane 'J7_to_J8_1' with decel=10.00, wished=4.50, severity=1.00, time=139.60.
